,Lat,Lon,FINAL_SEAMS_ZONE
1694,46.898,-100.18,MN-C
1710,46.898,-100.18,NA
249,47.132,-104.729,MN-C
1693,47.132,-104.729,MN-C
249,47.152,-98.605,MN-C
1218,47.152,-98.605,MN-C
1694,47.152,-98.605,MN-C
1697,47.152,-98.605,NA
249,47.173,-101.304,MN-C
1693,47.173,-101.304,MN-C
1694,47.173,-101.304,MN-C
1700,47.173,-101.304,MN-C
249,47.418,-101.228,MN-C
1218,47.418,-101.228,MN-C
1694,47.418,-101.228,MN-C
1695,47.418,-101.228,MN-C
1708,47.418,-101.228,NA
1709,47.418,-101.228,NA
249,47.653,-103.70200000000001,MN-C
1576,47.653,-103.70200000000001,MN-C
1693,47.653,-103.70200000000001,MN-C
1694,47.653,-103.70200000000001,MN-C
1705,47.653,-103.70200000000001,MN-C
249,47.67,-97.686,MN-C
1218,47.67,-97.686,MN-C
1696,47.67,-97.686,NA
1721,47.67,-97.686,NA
1722,47.67,-97.686,NA
249,47.672,-102.741,MN-C
1693,47.672,-102.741,MN-C
1694,47.672,-102.741,MN-C
1705,47.672,-102.741,MN-C
249,47.766000000000005,-101.689,MN-C
1218,47.766000000000005,-101.689,MN-C
1694,47.766000000000005,-101.689,MN-C
1695,47.766000000000005,-101.689,MN-C
1708,47.766000000000005,-101.689,NA
1709,47.766000000000005,-101.689,NA
249,47.78,-96.82600000000001,MN-C
1245,47.78,-96.82600000000001,MN-C
1253,47.78,-96.82600000000001,MN-C
249,47.782,-100.84899999999999,MN-C
1218,47.782,-100.84899999999999,MN-C
1694,47.782,-100.84899999999999,MN-C
1695,47.782,-100.84899999999999,MN-C
1708,47.782,-100.84899999999999,NA
1709,47.782,-100.84899999999999,NA
249,47.79,-98.274,MN-C
1218,47.79,-98.274,MN-C
1696,47.79,-98.274,NA
1718,47.79,-98.274,NA
249,47.845,-101.15299999999999,MN-C
1218,47.845,-101.15299999999999,MN-C
1694,47.845,-101.15299999999999,MN-C
1695,47.845,-101.15299999999999,MN-C
1708,47.845,-101.15299999999999,NA
1709,47.845,-101.15299999999999,NA
249,47.891000000000005,-96.598,MN-NE
1238,47.891000000000005,-96.598,MN-NE
1245,47.891000000000005,-96.598,MN-NE
249,48.183,-99.76899999999999,MN-C
1218,48.183,-99.76899999999999,MN-C
1694,48.183,-99.76899999999999,MN-C
1697,48.183,-99.76899999999999,NA
1713,48.183,-99.76899999999999,NA
249,48.207,-99.208,MN-C
1218,48.207,-99.208,MN-C
1694,48.207,-99.208,MN-C
1697,48.207,-99.208,NA
1713,48.207,-99.208,NA
249,48.208,-100.211,MN-C
1218,48.208,-100.211,MN-C
1694,48.208,-100.211,MN-C
1697,48.208,-100.211,NA
249,48.388000000000005,-105.273,MN-C
1573,48.388000000000005,-105.273,MN-C
1693,48.388000000000005,-105.273,MN-C
249,48.475,-100.35600000000001,MN-C
1218,48.475,-100.35600000000001,MN-C
1220,48.475,-100.35600000000001,MN-C
1694,48.475,-100.35600000000001,MN-C
1706,48.475,-100.35600000000001,MN-C
479,40.547,-91.419,MISO-MO
490,40.547,-91.419,MISO-MO
594,40.547,-91.419,MISO-MO
479,41.143,-91.63,CBPC-NIPCO
490,41.143,-91.63,CBPC-NIPCO
530,41.143,-91.63,CBPC-NIPCO
531,41.143,-91.63,CBPC-NIPCO
616,41.143,-91.63,CBPC-NIPCO
479,41.148999999999994,-91.387,CBPC-NIPCO
490,41.148999999999994,-91.387,CBPC-NIPCO
530,41.148999999999994,-91.387,CBPC-NIPCO
531,41.148999999999994,-91.387,CBPC-NIPCO
616,41.148999999999994,-91.387,CBPC-NIPCO
479,41.2,-91.525,CBPC-NIPCO
483,41.2,-91.525,CBPC-NIPCO
479,41.308,-91.48299999999999,CBPC-NIPCO
483,41.308,-91.48299999999999,CBPC-NIPCO
479,41.39,-91.84899999999999,CBPC-NIPCO
492,41.39,-91.84899999999999,CBPC-NIPCO
